@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 19\nSize of the tree: 21\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 10\nSize of the tree: 11\n','Number of leaves: 28\nSize of the tree: 31\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,22,8,0,73.333333,26.666667,0,0,0.390097,0.442222,99.797724,100.00115,25.099248,25.099747,-0.000499,0.836642,0.836658,-0.000017,0.046581,0.001553,0.185586,1,22,1,8,0,0,0,0,0.733333,1,0.846154,?,0.5,0.733333,0.733333,0.733333,0.266667,0.266667,?,0.733333,?,?,0.5,0.608889,?,0.733333,0,0,0,0,0,0,3866,19253,4247,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,21,10,0,67.741935,32.258065,0,-0.115108,0.396043,0.477649,102.249706,109.136126,25.547654,1099.648692,-1074.101038,0.824118,35.472538,-34.648421,-1.93871,-0.062539,-7.588602,0.913043,21,1,8,0,0,0.086957,2,0.724138,0.913043,0.807692,-0.154881,0.456522,0.745925,0.677419,0.764376,0.235624,0.322581,0.537264,0.677419,0.599256,-0.154881,0.456522,0.617821,0.403846,0.677419,0.003,0,0,0,0,0,7555,19192,4308,96.774194,98.387097,'Number of leaves: 19\nSize of the tree: 21\n',21,19,19
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0.001,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,22,9,0,70.967742,29.032258,0,0.136223,0.371326,0.444531,95.868306,101.568985,25.547654,26.004195,-0.45654,0.824118,0.838845,-0.014727,0.306229,0.009878,1.198659,0.869565,20,0.75,6,0.25,2,0.130435,3,0.769231,0.869565,0.816327,0.142247,0.586957,0.783431,0.709677,0.590112,0.409888,0.290323,0.673945,0.709677,0.685066,0.142247,0.586957,0.66251,0.562009,0.709677,0.001,0,0,0,0,0,5831,19192,4308,100,100,'Number of leaves: 10\nSize of the tree: 11\n',11,10,10
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,22,9,0,70.967742,29.032258,0,0,0.400117,0.454805,99.820083,100.022991,27.024229,27.035207,-0.010978,0.871749,0.872103,-0.000354,0.043744,0.001411,0.16187,1,22,1,9,0,0,0,0,0.709677,1,0.830189,?,0.5,0.709677,0.709677,0.709677,0.290323,0.290323,?,0.709677,?,?,0.5,0.587929,?,0.709677,0,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,22,8,0,73.333333,26.666667,0,0,0.390097,0.442222,99.797724,100.00115,25.099248,25.099747,-0.000499,0.836642,0.836658,-0.000017,0.046581,0.001553,0.185586,1,22,1,8,0,0,0,0,0.733333,1,0.846154,?,0.5,0.733333,0.733333,0.733333,0.266667,0.266667,?,0.733333,?,?,0.5,0.608889,?,0.733333,0.001,0,0,0,0,0,3866,19253,4247,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,22,8,0,73.333333,26.666667,0,0,0.390097,0.442222,99.797724,100.00115,25.099248,25.099747,-0.000499,0.836642,0.836658,-0.000017,0.046581,0.001553,0.185586,1,22,1,8,0,0,0,0,0.733333,1,0.846154,?,0.5,0.733333,0.733333,0.733333,0.266667,0.266667,?,0.733333,?,?,0.5,0.608889,?,0.733333,0,0,0,0,0,0,3866,19253,4247,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,22,8,0,73.333333,26.666667,0,0,0.390097,0.442222,99.797724,100.00115,25.099248,25.099747,-0.000499,0.836642,0.836658,-0.000017,0.046581,0.001553,0.185586,1,22,1,8,0,0,0,0,0.733333,1,0.846154,?,0.5,0.733333,0.733333,0.733333,0.266667,0.266667,?,0.733333,?,?,0.5,0.608889,?,0.733333,0.001,0,0,0,0,0,3866,19253,4247,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
